Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-10-26 16:38:41,false,"Memphis Cycling","28.50","1,173","01:53:14","143","178","15.1","27.9","535","561","0.00","0.0","0.0","0.0","0.0","0.0","0:00","55.4","0:00","No","01:53:13.88","1","0.0","01:52:29","01:56:51","262","388"
Cycling,2021-10-23 10:36:01,false,"Shelby County Cycling","43.40","1,781","02:51:45","143","175","15.2","36.2","1,601","1,594","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:06:30.85","2","0.0","02:51:04","03:02:32","247","468"
Cycling,2021-10-21 16:07:33,false,"Memphis Cycling","30.48","1,470","02:01:19","154","175","15.1","32.5","541","597","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","02:01:18.60","1","0.0","02:00:26","02:03:11","229","473"
Cycling,2021-10-17 12:10:23,false,"Germantown Cycling","30.19","1,249","01:53:18","147","161","16.0","29.8","748","758","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:53:18.40","1","0.0","01:52:31","01:59:05","314","500"
Cycling,2021-10-09 07:36:41,false,"Shelby County Cycling","101.60","4,815","06:38:43","150","180","15.3","36.5","3,517","3,517","0.00","0.0","0.0","0.0","0.0","0.0","0:00","57.2","0:00","No","06:38:42.50","1","0.0","06:36:55","07:49:14","220","474"
Cycling,2021-10-06 16:18:45,false,"Memphis Cycling","22.46","1,078","01:30:14","146","181","14.9","30.6","397","433","0.00","0.0","0.0","0.0","0.0","0.0","0:00","69.8","0:00","No","01:30:14.25","1","0.0","01:28:40","01:33:44","227","335"
Cycling,2021-10-03 10:31:04,false,"Shelby County Cycling","57.32","2,681","03:50:08","147","177","14.9","38.2","1,896","1,873","0.00","0.0","0.0","0.0","0.0","0.0","0:00","68.0","0:00","No","03:50:08.15","1","0.0","03:46:52","04:09:07","242","486"
Cycling,2021-09-29 16:51:42,false,"Memphis Cycling","31.08","1,352","02:03:37","146","164","15.1","33.6","499","574","0.00","0.0","0.0","0.0","0.0","0.0","0:00","68.0","0:00","No","02:03:36.54","1","0.0","02:02:22","02:08:57","179","284"
Cycling,2021-09-28 17:01:48,false,"Shelby County Cycling(Intervals 6x8)","22.64","1,086","01:28:30","150","172","15.3","36.7","745","755","0.00","0.0","0.0","0.0","0.0","0.0","0:00","68.0","0:00","No","01:28:30.48","1","0.0","01:28:17","01:30:04","239","423"
Cycling,2021-09-26 10:06:24,false,"Memphis Cycling","18.27","631","01:22:57","123","141","13.2","29.4","377","387","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:22:56.93","1","0.0","01:21:27","01:27:49","249","533"
Cycling,2021-09-25 10:40:18,false,"Memphis Cycling","60.56","2,867","04:04:33","144","179","14.9","37.1","1,677","1,650","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","04:04:32.88","1","0.0","04:00:57","05:01:03","231","430"
Cycling,2021-09-23 16:48:35,false,"Memphis Cycling","30.51","1,417","02:05:43","146","177","14.6","31.1","538","554","0.00","0.0","0.0","0.0","0.0","0.0","0:00","60.8","0:00","No","02:05:42.68","1","0.0","02:04:47","02:13:04","182","282"
Cycling,2021-09-19 09:41:20,false,"Memphis Cycling","56.33","2,609","03:43:07","147","173","15.1","32.2","1,421","1,434","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","03:43:07.44","1","0.0","03:41:59","04:36:52","250","654"
Cycling,2021-09-13 16:56:17,false,"Memphis Cycling","31.95","1,393","02:13:32","143","165","14.4","31.1","531","591","0.00","0.0","0.0","0.0","0.0","0.0","0:00","69.8","0:00","No","02:13:31.93","1","0.0","00:00:00","02:18:00","210","334"
Cycling,2021-09-11 09:27:31,false,"Memphis Cycling","53.79","2,440","03:32:58","140","170","15.2","32.3","1,434","1,467","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","03:32:57.100","1","0.0","00:00:00","04:14:56","185","407"
Cycling,2021-09-09 16:35:23,false,"Memphis Cycling","20.30","1,019","01:25:45","140","159","14.2","30.9","410","433","0.00","0.0","0.0","0.0","0.0","0.0","0:00","69.8","0:00","No","01:25:44.71","1","0.0","00:00:00","01:51:17","198","356"
Cycling,2021-09-08 16:49:59,false,"Shelby County Cycling","30.12","1,561","01:54:53","152","172","15.7","31.2","889","932","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","01:54:53.18","1","0.0","00:00:00","02:04:57","221","392"
Cycling,2021-09-06 08:25:10,false,"Memphis Cycling","29.52","1,146","01:58:49","136","171","14.9","29.9","535","551","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:58:49.17","1","0.0","00:00:00","02:04:32","274","547"
Cycling,2021-09-04 08:59:31,false,"Germantown Cycling","52.70","2,514","03:29:24","150","168","15.1","33.1","1,719","1,742","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","03:29:23.69","1","0.0","00:00:00","03:50:58","269","448"
Cycling,2021-08-31 16:34:21,false,"Shelby County Cycling","29.85","1,600","01:57:17","152","178","15.3","29.7","856","886","0.00","0.0","0.0","0.0","0.0","0.0","0:00","71.6","0:00","No","01:57:17.37","1","0.0","00:00:00","02:08:52","242","411"
Cycling,2021-08-28 09:06:00,false,"Memphis Cycling","49.74","2,525","03:23:32","149","172","14.7","31.5","1,171","1,194","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","03:23:32.17","1","0.0","00:00:00","04:09:20","152","352"
Cycling,2021-08-27 08:32:12,false,"Memphis Cycling","18.92","942","01:23:00","147","181","13.7","30.1","390","453","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","01:22:59.83","1","0.0","00:00:00","01:31:40","211","302"
Cycling,2021-08-21 09:03:40,false,"Memphis Cycling","45.55","2,235","03:06:42","148","173","14.6","31.9","1,145","1,184","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","03:06:42.02","1","0.0","00:00:00","03:39:37","205","401"
Cycling,2021-08-17 17:52:07,false,"Memphis Cycling","28.47","1,414","01:56:02","155","173","14.7","30.8","489","505","0.00","0.0","0.0","0.0","0.0","0.0","0:00","71.6","0:00","No","01:56:01.74","1","0.0","00:00:00","02:09:09","333","562"
Cycling,2021-08-14 07:33:49,false,"Rossville Cycling","61.54","3,086","04:01:24","155","179","15.3","34.7","2,474","2,451","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","04:01:24.27","1","0.0","00:00:00","04:32:36","302","518"
Cycling,2021-08-08 09:43:44,false,"Germantown Cycling","30.60","1,789","02:03:19","--","--","14.9","33.9","873","846","0.00","0.0","0.0","0.0","0.0","0.0","0:00","75.2","0:00","No","02:03:18.71","1","0.0","02:02:15","02:22:57","208","448"
Cycling,2021-08-07 08:47:40,false,"Memphis Cycling","42.07","2,134","02:44:08","156","178","15.4","33.5","1,053","1,102","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","02:44:08.46","1","0.0","02:43:15","03:12:15","242","615"
