Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Min Temp,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-24 10:33:31,Memphis Running,3.14,407,00:36:09,137,156,11:31,8:15,8,13,0.96,0.0,0.0,00:35:56,00:37:17,213,239
Cycling,2021-10-23 10:36:01,Shelby County Cycling,43.40,"1,781",02:51:45,143,175,15.2,36.2,"1,601","1,594",0.0,62.6,0.0,02:51:04,03:02:32,247,468
Cycling,2021-10-21 16:07:33,Memphis Cycling,30.48,"1,470",02:01:19,154,175,15.1,32.5,541,597,0.0,66.2,0.0,02:00:26,02:03:11,229,473
Running,2021-10-20 17:10:58,Memphis Running,3.10,425,00:34:17,148,165,11:03,7:42,11,17,0.98,0.0,0.0,00:34:09,00:34:17,218,238
Cycling,2021-10-17 12:10:23,Germantown Cycling,30.19,"1,249",01:53:18,147,161,16.0,29.8,748,758,0.0,62.6,0.0,01:52:31,01:59:05,314,500
Running,2021-10-16 09:53:19,Memphis Running,3.16,429,00:37:13,141,155,11:46,6:11,19,23,0.92,0.0,0.0,00:36:02,00:37:13,220,240
Cycling,2021-10-09 07:36:41,Shelby County Cycling,101.60,"4,815",06:38:43,150,180,15.3,36.5,"3,517","3,517",0.0,57.2,0.0,06:36:55,07:49:14,220,474
Cycling,2021-10-06 16:18:45,Memphis Cycling,22.46,"1,078",01:30:14,146,181,14.9,30.6,397,433,0.0,69.8,0.0,01:28:40,01:33:44,227,335
Cycling,2021-10-03 10:31:04,Shelby County Cycling,57.32,"2,681",03:50:08,147,177,14.9,38.2,"1,896","1,873",0.0,68.0,0.0,03:46:52,04:09:07,242,486
Cycling,2021-09-29 16:51:42,Memphis Cycling,31.08,"1,352",02:03:37,146,164,15.1,33.6,499,574,0.0,68.0,0.0,02:02:22,02:08:57,179,284
Cycling,2021-09-28 17:01:48,Shelby County Cycling(Intervals 6x8),22.64,"1,086",01:28:30,150,172,15.3,36.7,745,755,0.0,68.0,0.0,01:28:17,01:30:04,239,423
Cycling,2021-09-26 10:06:24,Memphis Cycling,18.27,631,01:22:57,123,141,13.2,29.4,377,387,0.0,62.6,0.0,01:21:27,01:27:49,249,533
Cycling,2021-09-25 10:40:18,Memphis Cycling,60.56,"2,867",04:04:33,144,179,14.9,37.1,"1,677","1,650",0.0,64.4,0.0,04:00:57,05:01:03,231,430
Cycling,2021-09-23 16:48:35,Memphis Cycling,30.51,"1,417",02:05:43,146,177,14.6,31.1,538,554,0.0,60.8,0.0,02:04:47,02:13:04,182,282
Cycling,2021-09-19 09:41:20,Memphis Cycling,56.33,"2,609",03:43:07,147,173,15.1,32.2,"1,421","1,434",0.0,62.6,0.0,03:41:59,04:36:52,250,654
Cycling,2021-09-13 16:56:17,Memphis Cycling,31.95,"1,393",02:13:32,143,165,14.4,31.1,531,591,0.0,69.8,0.0,00:00:00,02:18:00,210,334
Cycling,2021-09-11 09:27:31,Memphis Cycling,53.79,"2,440",03:32:58,140,170,15.2,32.3,"1,434","1,467",0.0,62.6,0.0,00:00:00,04:14:56,185,407
Cycling,2021-09-09 16:35:23,Memphis Cycling,20.30,"1,019",01:25:45,140,159,14.2,30.9,410,433,0.0,69.8,0.0,00:00:00,01:51:17,198,356
Cycling,2021-09-08 16:49:59,Shelby County Cycling,30.12,"1,561",01:54:53,152,172,15.7,31.2,889,932,0.0,66.2,0.0,00:00:00,02:04:57,221,392
Cycling,2021-09-06 08:25:10,Memphis Cycling,29.52,"1,146",01:58:49,136,171,14.9,29.9,535,551,0.0,62.6,0.0,00:00:00,02:04:32,274,547
Cycling,2021-09-04 08:59:31,Germantown Cycling,52.70,"2,514",03:29:24,150,168,15.1,33.1,"1,719","1,742",0.0,66.2,0.0,00:00:00,03:50:58,269,448
Running,2021-09-01 18:37:59,Memphis Running,3.17,440,00:34:52,152,165,11:01,8:02,12,14,0.98,0.0,0.0,00:00:00,00:34:52,220,243
Cycling,2021-08-31 16:34:21,Shelby County Cycling,29.85,"1,600",01:57:17,152,178,15.3,29.7,856,886,0.0,71.6,0.0,00:00:00,02:08:52,242,411
Cycling,2021-08-28 09:06:00,Memphis Cycling,49.74,"2,525",03:23:32,149,172,14.7,31.5,"1,171","1,194",0.0,64.4,0.0,00:00:00,04:09:20,152,352
Cycling,2021-08-27 08:32:12,Memphis Cycling,18.92,942,01:23:00,147,181,13.7,30.1,390,453,0.0,66.2,0.0,00:00:00,01:31:40,211,302
Running,2021-08-22 09:33:58,Shelby County Running,3.06,658,01:03:58,137,174,20:55,4:00,408,367,0.62,0.0,0.0,00:00:00,01:03:58,249,407
Cycling,2021-08-21 09:03:40,Memphis Cycling,45.55,"2,235",03:06:42,148,173,14.6,31.9,"1,145","1,184",0.0,64.4,0.0,00:00:00,03:39:37,205,401
Running,2021-08-18 17:56:24,Memphis Running,3.01,463,00:34:57,152,176,11:37,7:48,6,11,0.96,0.0,0.0,00:00:00,00:34:57,220,237
Cycling,2021-08-17 17:52:07,Memphis Cycling,28.47,"1,414",01:56:02,155,173,14.7,30.8,489,505,0.0,71.6,0.0,00:00:00,02:09:09,333,562
Cycling,2021-08-14 07:33:49,Rossville Cycling,61.54,"3,086",04:01:24,155,179,15.3,34.7,"2,474","2,451",0.0,66.2,0.0,00:00:00,04:32:36,302,518
Running,2021-08-12 17:43:44,Memphis Running,3.10,557,00:45:51,147,171,14:47,3:24,23,16,0.87,0.0,0.0,00:00:00,00:45:51,220,244
Cycling,2021-08-08 09:43:44,Germantown Cycling,30.60,"1,789",02:03:19,--,--,14.9,33.9,873,846,0.0,75.2,0.0,02:02:15,02:22:57,208,448
Cycling,2021-08-07 08:47:40,Memphis Cycling,42.07,"2,134",02:44:08,156,178,15.4,33.5,"1,053","1,102",0.0,62.6,0.0,02:43:15,03:12:15,242,615
Cycling,2021-08-04 17:35:48,Memphis Cycling,36.53,"1,738",02:31:22,153,180,14.5,31.6,942,968,0.0,69.8,0.0,02:30:33,02:43:06,186,393
Cycling,2021-08-02 17:49:22,Memphis Cycling,32.01,"1,369",02:09:13,151,173,14.9,31.3,755,764,0.0,71.6,0.0,02:08:14,02:14:43,222,387
Cycling,2021-07-22 08:05:09,Shelby County Cycling,20.63,971,01:24:01,145,165,14.7,31.9,610,630,0.0,69.8,0.0,01:23:46,01:27:10,276,470
Cycling,2021-07-21 09:57:15,Memphis Cycling,32.47,"1,527",02:15:35,153,177,14.4,30.0,768,814,0.0,66.2,0.0,02:15:04,02:19:13,239,514
Cycling,2021-07-17 07:58:44,Memphis Cycling,32.28,"1,599",02:14:16,148,178,14.4,30.3,774,810,0.0,64.4,0.0,02:12:29,03:13:14,218,615
Cycling,2021-07-13 18:05:52,Memphis Cycling,27.21,"1,339",01:54:53,152,185,14.2,29.9,541,574,0.0,71.6,0.0,01:53:08,01:57:08,236,312
Running,2021-07-07 06:58:12,Running,3.24,430,00:48:27,--,--,14:58,7:39,466,443,0.85,0.0,0.0,00:46:31,00:48:27,46,304
Running,2021-07-04 06:50:12,Running,3.25,414,00:52:06,--,--,16:02,7:52,490,508,0.82,0.0,0.0,00:48:22,00:52:06,40,308
Cycling,2021-06-26 07:35:56,Memphis Cycling,42.06,"1,791",02:46:02,141,166,15.2,32.0,"1,053","1,125",0.0,64.4,0.0,02:45:31,03:21:27,240,440
Cycling,2021-06-24 18:10:34,Memphis Cycling,3.97,197,00:15:21,147,169,15.5,21.7,66,33,0.0,71.6,0.0,00:15:08,00:15:21,247,302
Cycling,2021-06-22 17:50:00,Germantown Cycling,25.24,"1,101",01:35:22,151,175,15.9,30.6,673,735,0.0,68.0,0.0,01:33:33,01:38:55,306,437
Cycling,2021-06-15 17:52:08,Memphis Cycling,32.08,"1,319",02:07:33,147,171,15.1,31.4,791,794,0.0,71.6,0.0,02:07:01,02:12:46,245,456
Cycling,2021-06-13 10:08:17,Shelby County Cycling,19.28,951,01:21:27,147,176,14.2,33.2,719,741,0.0,78.8,0.0,01:20:41,01:24:40,276,443
Cycling,2021-06-12 09:23:43,Memphis Cycling,38.21,"2,027",02:37:06,152,173,14.6,29.2,794,830,0.0,66.2,0.0,02:34:39,03:18:00,237,418
Running,2021-05-30 16:46:36,Memphis Running,4.03,556,00:52:28,--,--,13:01,4:43,23,30,0.88,0.0,0.0,00:49:31,00:52:28,238,266
Cycling,2021-05-29 09:14:22,Germantown Cycling,57.40,"2,142",03:41:37,139,158,15.5,35.9,"1,985","2,054",0.0,50.0,0.0,03:38:13,04:09:21,269,726
Cycling,2021-05-27 17:03:25,Germantown Cycling,16.01,745,01:04:42,138,154,14.8,30.5,318,328,0.0,64.4,0.0,01:03:00,01:26:42,295,428
Cycling,2021-05-25 18:03:52,Germantown Cycling,31.33,"1,406",01:53:38,146,184,16.5,30.4,646,666,0.0,73.4,0.0,01:51:01,02:04:08,331,439
Cycling,2021-05-22 09:00:39,Germantown Cycling,52.65,"2,391",03:32:17,146,166,14.9,34.0,"1,768","1,824",0.0,64.4,0.0,03:28:03,03:48:39,274,469
